CN I-ESA RU US UK 这5个国家 按照年份从1970年到2025年的卫星发射数量表
Year	CN	I-ESA	RU	US	UK
1970	1	12	0	0	0
1971	0	13	0	0	1
1972	0	14	0	0	0
1973	0	10	0	0	0
1974	0	12	0	0	2
1975	0	12	0	0	0
1976	0	22	0	0	0
1977	0	13	3	0	0
1978	0	18	2	0	0
1979	0	11	0	0	0
1980	0	10	0	2	0
1981	0	11	5	17	0
1982	0	11	0	0	0
1983	0	19	1	0	0
1984	2	23	1	32	1
1985	0	15	1	0	0
1986	1	9	0	0	0
1987	0	11	0	0	0
1988	3	14	1	0	1
1989	0	12	3	0	1
1990	2	26	0	0	5
1991	1	13	2	0	1
1992	0	14	0	44	0
1993	0	22	1	31	0
1994	2	16	0	44	2
1995	2	20	0	17	0
1996	1	16	0	14	0
1997	3	46	3	14	0
1998	2	47	0	17	1
1999	3	71	1	7	2
2000	6	39	3	14	4
2001	0	14	2	16	2
2002	2	17	2	10	0
2003	4	21	1	12	1
2004	9	18	0	10	0
2005	2	12	3	10	3
2006	7	14	0	9	1
2007	8	30	0	9	2
2008	12	17	1	64	3
2009	6	16	2	20	3
2010	20	20	1	12	3
2011	14	20	2	11	3
2012	20	22	2	11	3
2013	13	34	4	18	9
2014	18	35	1	66	10
2015	23	41	1	16	7
2016	19	32	0	4	1
2017	26	73	0	11	3
2018	69	77	1	17	9
2019	63	62	2	14	11
2020	47	528	0	18	104
2021	91	802	0	12	284
2022	148	1617	1	17	113
2023	172	2084	2	57	147
2024	261	2080	3	91	28
2025	38	300	0	2	0
